seconds,estimated_hz,voiced_probability,retained
1.008000000000000007e+00,2.786611002594362390e+02,1.818737573491218187e-02,0.000000000000000000e+00
1.024000000000000021e+00,2.754604045334168063e+02,2.616802860893412130e-02,0.000000000000000000e+00
1.040000000000000036e+00,2.722964719333630228e+02,2.031762855629473327e-02,0.000000000000000000e+00
1.056000000000000050e+00,2.707281596590496520e+02,1.508558729749828915e-02,0.000000000000000000e+00
1.072000000000000064e+00,2.691688801987581314e+02,4.069733156888105663e-02,0.000000000000000000e+00
1.088000000000000078e+00,2.676185815273078674e+02,7.797523762294816807e-02,0.000000000000000000e+00
1.104000000000000092e+00,2.676185815273078674e+02,9.203757081218101599e-02,0.000000000000000000e+00
1.120000000000000107e+00,2.660772119191614138e+02,1.085797707287449732e-01,0.000000000000000000e+00
1.135999999999999899e+00,2.660772119191614138e+02,1.085797707287450009e-01,0.000000000000000000e+00
1.151999999999999913e+00,2.660772119191614138e+02,9.203757081218101599e-02,0.000000000000000000e+00
1.167999999999999927e+00,2.645447199466984216e+02,6.608151270920702147e-02,0.000000000000000000e+00
1.183999999999999941e+00,2.645447199466984216e+02,3.489742801962526786e-02,0.000000000000000000e+00
1.199999999999999956e+00,2.630210544784998774e+02,2.616802860893575888e-02,0.000000000000000000e+00
1.215999999999999970e+00,2.615061646776418911e+02,1.818737573491218187e-02,0.000000000000000000e+00
1.231999999999999984e+00,2.615061646776418911e+02,1.240312479355134764e-02,0.000000000000000000e+00
1.247999999999999998e+00,2.600000000000000000e+02,1.310026255051339322e-02,0.000000000000000000e+00
1.264000000000000012e+00,2.600000000000000000e+02,1.310026255051339496e-02,0.000000000000000000e+00
1.280000000000000027e+00,2.585025101925623403e+02,1.398021038018592947e-02,0.000000000000000000e+00
1.296000000000000041e+00,2.585025101925623403e+02,1.310026255051339669e-02,0.000000000000000000e+00
1.312000000000000055e+00,2.570136452917529937e+02,1.108579188894337486e-02,0.000000000000000000e+00
1.328000000000000069e+00,2.570136452917529937e+02,1.003776550292968979e-02,0.000000000000000000e+00
1.344000000000000083e+00,nan,1.000080278092725476e-02,0.000000000000000000e+00
1.360000000000000098e+00,nan,1.000187304601254934e-02,0.000000000000000000e+00
1.375999999999999890e+00,nan,1.000419105279527071e-02,0.000000000000000000e+00
1.391999999999999904e+00,nan,1.000281582581109829e-02,0.000000000000000000e+00
1.407999999999999918e+00,nan,1.000187304601255107e-02,0.000000000000000000e+00
1.423999999999999932e+00,nan,1.003776550292968806e-02,0.000000000000000000e+00
1.439999999999999947e+00,4.768421024664290258e+02,1.062260904091153445e-02,0.000000000000000000e+00
1.455999999999999961e+00,4.768421024664290258e+02,1.240312479355134764e-02,0.000000000000000000e+00
1.471999999999999975e+00,4.713651037826174388e+02,2.294421912463860333e-02,0.000000000000000000e+00
1.487999999999999989e+00,4.713651037826174388e+02,1.504646013433388330e-01,0.000000000000000000e+00
1.504000000000000004e+00,4.713651037826174388e+02,3.721358982975088159e-01,0.000000000000000000e+00
1.520000000000000018e+00,4.713651037826174388e+02,4.260623290432818955e-01,0.000000000000000000e+00
1.536000000000000032e+00,4.713651037826174388e+02,5.485250542599845458e-01,0.000000000000000000e+00
1.552000000000000046e+00,4.713651037826174388e+02,6.159498854580680582e-01,0.000000000000000000e+00
1.568000000000000060e+00,4.713651037826174388e+02,5.485250542599846568e-01,0.000000000000000000e+00
1.584000000000000075e+00,4.713651037826174388e+02,6.159498854580680582e-01,0.000000000000000000e+00
1.600000000000000089e+00,4.713651037826174388e+02,5.485250542599846568e-01,0.000000000000000000e+00
1.616000000000000103e+00,4.713651037826174388e+02,3.721358982975087049e-01,0.000000000000000000e+00
1.631999999999999895e+00,4.713651037826174388e+02,2.407543944755742849e-01,0.000000000000000000e+00
1.647999999999999909e+00,4.713651037826174388e+02,1.504646013433387775e-01,0.000000000000000000e+00
1.663999999999999924e+00,4.713651037826174388e+02,9.203757081218102987e-02,0.000000000000000000e+00
1.679999999999999938e+00,4.713651037826174388e+02,5.607139544589263835e-02,0.000000000000000000e+00
1.695999999999999952e+00,4.713651037826174388e+02,2.294421912463859986e-02,0.000000000000000000e+00
1.711999999999999966e+00,4.686502405576317756e+02,1.108579188894337313e-02,0.000000000000000000e+00
1.727999999999999980e+00,4.686502405576317756e+02,1.034905513337584446e-02,0.000000000000000000e+00
1.743999999999999995e+00,4.659510137942153278e+02,1.019107549696831108e-02,0.000000000000000000e+00
1.760000000000000009e+00,4.659510137942153278e+02,1.005296754596585705e-02,0.000000000000000000e+00
1.776000000000000023e+00,nan,1.001306884623897470e-02,0.000000000000000000e+00
1.792000000000000037e+00,nan,1.003776550292968806e-02,0.000000000000000000e+00
1.808000000000000052e+00,nan,1.007375176428288235e-02,0.000000000000000000e+00
1.824000000000000066e+00,nan,1.019107549696831282e-02,0.000000000000000000e+00
1.840000000000000080e+00,nan,1.014004604470406835e-02,0.000000000000000000e+00
1.856000000000000094e+00,nan,1.000617855533407832e-02,0.000000000000000000e+00
1.872000000000000108e+00,nan,1.000007810228032215e-02,0.000000000000000000e+00
1.887999999999999901e+00,nan,1.000020633903134053e-02,0.000000000000000000e+00
1.903999999999999915e+00,nan,1.000051671960452450e-02,0.000000000000000000e+00
1.919999999999999929e+00,nan,1.000281582581110176e-02,0.000000000000000000e+00
1.935999999999999943e+00,nan,1.000280161999885994e-02,0.000000000000000000e+00
1.951999999999999957e+00,nan,1.000277466862288869e-02,0.000000000000000000e+00
1.967999999999999972e+00,nan,1.000599789668590693e-02,0.000000000000000000e+00
1.983999999999999986e+00,nan,4.574311867439559634e-06,0.000000000000000000e+00
2.000000000000000000e+00,nan,3.906944599575835463e-04,0.000000000000000000e+00
2.016000000000000014e+00,nan,1.684133725347375897e-03,0.000000000000000000e+00
2.032000000000000028e+00,nan,7.451815140159238904e-03,0.000000000000000000e+00
2.048000000000000043e+00,nan,1.869087932790580719e-02,0.000000000000000000e+00
2.064000000000000057e+00,nan,2.613350757431557453e-02,0.000000000000000000e+00
2.080000000000000071e+00,nan,2.615374202402873105e-02,0.000000000000000000e+00
2.096000000000000085e+00,nan,2.581455447958131214e-02,0.000000000000000000e+00
2.112000000000000099e+00,nan,1.821497372904557627e-02,0.000000000000000000e+00
2.128000000000000114e+00,nan,6.033391788108887974e-03,0.000000000000000000e+00
2.144000000000000128e+00,nan,3.107832522715609771e-04,0.000000000000000000e+00
2.160000000000000142e+00,nan,1.015706888579513863e-02,0.000000000000000000e+00
2.176000000000000156e+00,nan,1.000390357928174212e-02,0.000000000000000000e+00
2.192000000000000171e+00,nan,1.000418854516478030e-02,0.000000000000000000e+00
2.208000000000000185e+00,nan,1.000123278253934808e-02,0.000000000000000000e+00
2.224000000000000199e+00,nan,1.000281578412725268e-02,0.000000000000000000e+00
2.240000000000000213e+00,nan,1.000617855533408006e-02,0.000000000000000000e+00
2.255999999999999783e+00,nan,1.000617855533407832e-02,0.000000000000000000e+00
2.271999999999999797e+00,nan,1.000419105279527071e-02,0.000000000000000000e+00
2.287999999999999812e+00,nan,1.002672467381077008e-02,0.000000000000000000e+00
2.303999999999999826e+00,nan,1.001876446808529220e-02,0.000000000000000000e+00
2.319999999999999840e+00,nan,1.000419068778005301e-02,0.000000000000000000e+00
2.335999999999999854e+00,nan,1.001876315901061194e-02,0.000000000000000000e+00
2.351999999999999869e+00,nan,1.003776550292968806e-02,0.000000000000000000e+00
2.367999999999999883e+00,nan,1.000080278092725476e-02,0.000000000000000000e+00
2.383999999999999897e+00,nan,1.000080278092725476e-02,0.000000000000000000e+00
2.399999999999999911e+00,nan,1.000002785026228580e-02,0.000000000000000000e+00
2.415999999999999925e+00,nan,1.000001622642283580e-02,0.000000000000000000e+00
2.431999999999999940e+00,nan,1.000012784523254122e-02,0.000000000000000000e+00
2.447999999999999954e+00,nan,1.000007810228032389e-02,0.000000000000000000e+00
2.463999999999999968e+00,nan,1.000001622642283580e-02,0.000000000000000000e+00
2.479999999999999982e+00,nan,2.031762855636057991e-02,0.000000000000000000e+00
2.495999999999999996e+00,nan,1.310026255051339496e-02,0.000000000000000000e+00
2.512000000000000011e+00,nan,1.082446372823416686e-02,0.000000000000000000e+00
2.528000000000000025e+00,nan,1.019107549696831108e-02,0.000000000000000000e+00
2.544000000000000039e+00,nan,1.010197459374499035e-02,0.000000000000000000e+00
2.560000000000000053e+00,nan,1.014004604470406835e-02,0.000000000000000000e+00
2.576000000000000068e+00,nan,1.010197459374499035e-02,0.000000000000000000e+00
2.592000000000000082e+00,nan,1.010197459374499035e-02,0.000000000000000000e+00
2.608000000000000096e+00,nan,1.001306884623897470e-02,0.000000000000000000e+00
2.624000000000000110e+00,nan,1.000187304601255107e-02,0.000000000000000000e+00
2.640000000000000124e+00,nan,1.000281582581110003e-02,0.000000000000000000e+00
2.656000000000000139e+00,nan,1.014004604470406835e-02,0.000000000000000000e+00
2.672000000000000153e+00,nan,1.010197459374499035e-02,0.000000000000000000e+00
2.688000000000000167e+00,nan,1.000001622642283407e-02,0.000000000000000000e+00
2.704000000000000181e+00,nan,1.000000000000043909e-02,0.000000000000000000e+00
2.720000000000000195e+00,nan,1.000000020889274359e-02,0.000000000000000000e+00
2.736000000000000210e+00,nan,1.010197459374499035e-02,0.000000000000000000e+00
2.751999999999999780e+00,nan,1.034905513337584619e-02,0.000000000000000000e+00
2.767999999999999794e+00,nan,1.108579188894337313e-02,0.000000000000000000e+00
2.783999999999999808e+00,nan,1.014004604470407009e-02,0.000000000000000000e+00
2.799999999999999822e+00,5.200000000000000000e+02,1.005296754596585705e-02,0.000000000000000000e+00
2.815999999999999837e+00,5.110667112435306194e+02,1.025905055977886261e-02,0.000000000000000000e+00
2.831999999999999851e+00,5.081231835858079080e+02,1.108579188894337313e-02,0.000000000000000000e+00
2.847999999999999865e+00,5.051966093998751148e+02,1.240312479355134764e-02,0.000000000000000000e+00
2.863999999999999879e+00,5.051966093998751148e+02,1.185350539468341298e-02,0.000000000000000000e+00
2.879999999999999893e+00,4.965176340334165275e+02,1.108579188894337313e-02,0.000000000000000000e+00
2.895999999999999908e+00,4.823827408094808789e+02,1.108579188894337313e-02,0.000000000000000000e+00
2.911999999999999922e+00,4.632673334329764998e+02,1.240312479355134764e-02,0.000000000000000000e+00
2.927999999999999936e+00,4.553086779310602310e+02,1.142233425070907429e-02,0.000000000000000000e+00
2.943999999999999950e+00,4.474867473670516347e+02,1.082446372823416686e-02,0.000000000000000000e+00
2.959999999999999964e+00,4.322437059942496376e+02,1.062260904091153271e-02,0.000000000000000000e+00
2.975999999999999979e+00,4.223712461052425056e+02,1.046753361706990494e-02,0.000000000000000000e+00
2.991999999999999993e+00,4.127242735117318375e+02,1.025905055977886261e-02,0.000000000000000000e+00
