seconds,estimated_hz,voiced_probability,retained
6.079999999999999849e-01,nan,1.000000000061385987e-02,0.000000000000000000e+00
6.239999999999999991e-01,nan,1.000000010142939634e-02,0.000000000000000000e+00
6.400000000000000133e-01,nan,1.000000004772602473e-02,0.000000000000000000e+00
6.560000000000000275e-01,nan,1.000000000399662269e-02,0.000000000000000000e+00
6.720000000000000417e-01,nan,1.000000000399662269e-02,0.000000000000000000e+00
6.879999999999999449e-01,nan,1.000000000160603669e-02,0.000000000000000000e+00
7.039999999999999591e-01,nan,1.000000004772602473e-02,0.000000000000000000e+00
7.199999999999999734e-01,nan,1.000020633903133706e-02,0.000000000000000000e+00
7.359999999999999876e-01,nan,1.000281582581110003e-02,0.000000000000000000e+00
7.520000000000000018e-01,nan,1.000012783693004018e-02,0.000000000000000000e+00
7.680000000000000160e-01,nan,1.000617855184342785e-02,0.000000000000000000e+00
7.840000000000000302e-01,nan,1.002672332305225462e-02,0.000000000000000000e+00
8.000000000000000444e-01,nan,1.000007810208650497e-02,0.000000000000000000e+00
8.159999999999999476e-01,nan,1.000000041792507670e-02,0.000000000000000000e+00
8.319999999999999618e-01,nan,1.000000041792507670e-02,0.000000000000000000e+00
8.479999999999999760e-01,nan,1.000000000000692522e-02,0.000000000000000000e+00
8.639999999999999902e-01,nan,1.000002785026228580e-02,0.000000000000000000e+00
8.800000000000000044e-01,nan,1.000080278092725650e-02,0.000000000000000000e+00
8.960000000000000187e-01,nan,1.000080278092725476e-02,0.000000000000000000e+00
9.120000000000000329e-01,nan,1.000020633903134053e-02,0.000000000000000000e+00
9.280000000000000471e-01,nan,1.000080278092725476e-02,0.000000000000000000e+00
9.439999999999999503e-01,nan,1.001306884623897470e-02,0.000000000000000000e+00
9.599999999999999645e-01,nan,1.005296754596585705e-02,0.000000000000000000e+00
9.759999999999999787e-01,nan,1.014004604470406835e-02,0.000000000000000000e+00
9.919999999999999929e-01,nan,1.019107549696831108e-02,0.000000000000000000e+00
1.008000000000000007e+00,nan,1.010197459374499208e-02,0.000000000000000000e+00
1.024000000000000021e+00,nan,1.034905513337584446e-02,0.000000000000000000e+00
1.040000000000000036e+00,nan,1.082446372823416512e-02,0.000000000000000000e+00
1.056000000000000050e+00,nan,1.108579188894337313e-02,0.000000000000000000e+00
1.072000000000000064e+00,nan,1.019107549696831108e-02,0.000000000000000000e+00
1.088000000000000078e+00,nan,1.019107549696831108e-02,0.000000000000000000e+00
1.104000000000000092e+00,nan,1.000419105279527071e-02,0.000000000000000000e+00
1.120000000000000107e+00,nan,1.000000928748663066e-02,0.000000000000000000e+00
1.135999999999999899e+00,nan,1.000012784523254122e-02,0.000000000000000000e+00
1.151999999999999913e+00,nan,1.000187304601255107e-02,0.000000000000000000e+00
1.167999999999999927e+00,nan,1.010197459374499208e-02,0.000000000000000000e+00
1.183999999999999941e+00,nan,1.025905055977886261e-02,0.000000000000000000e+00
1.199999999999999956e+00,nan,1.019107549696830935e-02,0.000000000000000000e+00
1.215999999999999970e+00,nan,1.025905055977886435e-02,0.000000000000000000e+00
1.231999999999999984e+00,nan,1.082446372823416512e-02,0.000000000000000000e+00
1.247999999999999998e+00,nan,5.607139544589263142e-02,0.000000000000000000e+00
1.264000000000000012e+00,nan,3.489742801962526092e-02,0.000000000000000000e+00
1.280000000000000027e+00,nan,1.310026255051339322e-02,0.000000000000000000e+00
1.296000000000000041e+00,nan,1.014004604470407009e-02,0.000000000000000000e+00
1.312000000000000055e+00,nan,1.000051671960452450e-02,0.000000000000000000e+00
1.328000000000000069e+00,1.178412759456543455e+02,1.000000521622945032e-02,0.000000000000000000e+00
1.344000000000000083e+00,1.285068226458764968e+02,1.005296754596585532e-02,0.000000000000000000e+00
1.360000000000000098e+00,1.292512550962811702e+02,1.508558729750433640e-02,0.000000000000000000e+00
1.375999999999999890e+00,1.292512550962811702e+02,4.069733156888105663e-02,0.000000000000000000e+00
1.391999999999999904e+00,1.300000000000000000e+02,6.608151270920700759e-02,0.000000000000000000e+00
1.407999999999999918e+00,1.300000000000000000e+02,1.085797707287450009e-01,0.000000000000000000e+00
1.423999999999999932e+00,1.300000000000000000e+02,1.279370863012903592e-01,0.000000000000000000e+00
1.439999999999999947e+00,1.300000000000000000e+02,1.279370863012903869e-01,0.000000000000000000e+00
1.455999999999999961e+00,1.307530823388209456e+02,1.765306086328975732e-01,0.000000000000000000e+00
1.471999999999999975e+00,1.307530823388209456e+02,2.065067991177522988e-01,0.000000000000000000e+00
1.487999999999999989e+00,1.315105272392499387e+02,1.279370863012903592e-01,0.000000000000000000e+00
1.504000000000000004e+00,1.315105272392499387e+02,3.489742801962526092e-02,0.000000000000000000e+00
1.520000000000000018e+00,1.315105272392499387e+02,1.185350539468341298e-02,0.000000000000000000e+00
1.536000000000000032e+00,1.144865635674993030e+02,1.000902549332215695e-02,0.000000000000000000e+00
1.552000000000000046e+00,nan,1.060851514900015969e-08,0.000000000000000000e+00
1.568000000000000060e+00,nan,2.802073634351065005e-08,0.000000000000000000e+00
1.584000000000000075e+00,nan,6.088393449376594677e-09,0.000000000000000000e+00
1.600000000000000089e+00,nan,3.580906572073187188e-10,0.000000000000000000e+00
1.616000000000000103e+00,nan,1.659715615256499010e-08,0.000000000000000000e+00
1.631999999999999895e+00,nan,1.000000286279786703e-02,0.000000000000000000e+00
1.647999999999999909e+00,nan,1.000001613783453071e-02,0.000000000000000000e+00
1.663999999999999924e+00,nan,1.000012782627840088e-02,0.000000000000000000e+00
1.679999999999999938e+00,nan,1.000419105279527245e-02,0.000000000000000000e+00
1.695999999999999952e+00,nan,1.000012784523254643e-02,0.000000000000000000e+00
1.711999999999999966e+00,nan,1.000000000950596567e-02,0.000000000000000000e+00
1.727999999999999980e+00,nan,1.000000004772602299e-02,0.000000000000000000e+00
1.743999999999999995e+00,nan,1.034905513337584446e-02,0.000000000000000000e+00
1.760000000000000009e+00,nan,1.398021038018592774e-02,0.000000000000000000e+00
1.776000000000000023e+00,nan,1.082446372823416686e-02,0.000000000000000000e+00
1.792000000000000037e+00,nan,1.108579188894337486e-02,0.000000000000000000e+00
1.808000000000000052e+00,nan,1.142233425070907429e-02,0.000000000000000000e+00
1.824000000000000066e+00,nan,1.185350539468341298e-02,0.000000000000000000e+00
1.840000000000000080e+00,nan,1.185350539468341298e-02,0.000000000000000000e+00
1.856000000000000094e+00,nan,1.646758759311300890e-02,0.000000000000000000e+00
1.872000000000000108e+00,nan,1.508558729750433813e-02,0.000000000000000000e+00
1.887999999999999901e+00,nan,3.010686179419501396e-02,0.000000000000000000e+00
1.903999999999999915e+00,nan,1.646758759311300543e-02,0.000000000000000000e+00
1.919999999999999929e+00,nan,1.000617855533407832e-02,0.000000000000000000e+00
